category	trait
# Trait names must exactly match the renamed metadata column names.	
# Valid categories are: exposure, outcome	
exposure	DDT
exposure	DDT: Q1
exposure	DDT: Q2
exposure	DDT: Q3
exposure	DDT: Q4
exposure	DDT: T1
exposure	DDT: T2
exposure	DDT: T3
exposure	DDE
exposure	DDE: Q1
exposure	DDE: Q2
exposure	DDE: Q3
exposure	DDE: Q4
exposure	DDE: T1
exposure	DDE: T2
exposure	DDE: T3
exposure	o,p'-DDT
exposure	ICE education: Q1
exposure	ICE education: Q2
exposure	ICE education: Q3
exposure	ICE education: Q4
exposure	ICE race: Q1
exposure	ICE race: Q2
exposure	ICE race: Q3
exposure	ICE race: Q4
exposure	ICE income: Q1
exposure	ICE income: Q2
exposure	ICE income: Q3
exposure	ICE income: Q4
exposure	ICE income-race: Q1
exposure	ICE income-race: Q2
exposure	ICE income-race: Q3
exposure	ICE income-race: Q4
outcome	F1 Black race
outcome	F1 obesity
outcome	F1 overweight
outcome	F1 Allostatic load score
outcome	Breast cancer: F1
outcome	Breast cancer: F0
outcome	F1 age at menarche (years)
outcome	F1 early menarche
outcome	F1 late menarche
