category	trait
# Replace the example names below with exact trait names from ME_Trait_Correlation_Stats_Bicor.tsv
# Valid categories are: exposure, outcome
exposure	ddt
exposure	ddtq1
exposure	ddtq2
exposure	ddtq3
exposure	ddtq4
exposure	ddtT1
exposure	ddtT2
exposure	ddtT3
exposure	dde
exposure	ddeq1
exposure	ddeq2
exposure	ddeq3
exposure	ddeq4
exposure	ddeT1
exposure	ddeT2
exposure	ddeT3
exposure	op_ddt
exposure	ICE60edu1_q1
exposure	ICE60edu1_q2
exposure	ICE60edu1_q3
exposure	ICE60edu1_q4
exposure	ICE60rac1_q1
exposure	ICE60rac1_q2
exposure	ICE60rac1_q3
exposure	ICE60rac1_q4
exposure	ICE60inc1_q1
exposure	ICE60inc1_q2
exposure	ICE60inc1_q3
exposure	ICE60inc1_q4
exposure	ICE60incxrac1_q1
exposure	ICE60incxrac1_q2
exposure	ICE60incxrac1_q3
exposure	ICE60incxrac1_q4
outcome	black_race
outcome	HVobeseF1
outcome	HVoverwtF1
outcome	breastcaF1
outcome	breastcaF0
outcome	agemenarche_adol
outcome	youngmen_adol
outcome	oldmen_adol



